ファイルNo.,ファイルパス,行数,ID,種別,ステータスコード,"エラー内容(エラーコード, フィールド名, メッセージ)"
1,/rm_misc.csv,3,21725803,misc,404,"not_found,,指定されたリソースが見つかりませんでした[21725803]。"
1,/rm_misc.csv,4,21725802,misc,404,"not_found,,指定されたリソースが見つかりませんでした[21725802]。"
1,/rm_misc.csv,5,21725800,misc,404,"not_found,,指定されたリソースが見つかりませんでした[21725800]。"
1,/rm_misc.csv,6,21725799,misc,404,"not_found,,指定されたリソースが見つかりませんでした[21725799]。"
1,/rm_misc.csv,7,21725792,misc,404,"not_found,,指定されたリソースが見つかりませんでした[21725792]。"
1,/rm_misc.csv,8,21725789,misc,404,"not_found,,指定されたリソースが見つかりませんでした[21725789]。"
1,/rm_misc.csv,9,21725788,misc,404,"not_found,,指定されたリソースが見つかりませんでした[21725788]。"
1,/rm_misc.csv,10,21725787,misc,404,"not_found,,指定されたリソースが見つかりませんでした[21725787]。"
1,/rm_misc.csv,11,21725775,misc,404,"not_found,,指定されたリソースが見つかりませんでした[21725775]。"
1,/rm_misc.csv,12,21725771,misc,404,"not_found,,指定されたリソースが見つかりませんでした[21725771]。"
1,/rm_misc.csv,13,21725770,misc,404,"not_found,,指定されたリソースが見つかりませんでした[21725770]。"
1,/rm_misc.csv,14,21725769,misc,404,"not_found,,指定されたリソースが見つかりませんでした[21725769]。"
1,/rm_misc.csv,15,21725763,misc,404,"not_found,,指定されたリソースが見つかりませんでした[21725763]。"
1,/rm_misc.csv,16,18561729,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,17,18561728,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,18,18561732,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,19,18561735,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,20,18561734,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,21,18561733,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,22,18561737,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,23,18561736,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,24,18561709,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,25,18561710,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,26,18561743,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_misc.csv,27,18561742,misc,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
