ファイルNo.,ファイルパス,行数,ID,種別,ステータスコード,"エラー内容(エラーコード, フィールド名, メッセージ)"
1,/rm_published_papers.csv,3,52773381,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,4,52505337,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,5,45620567,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,6,21725796,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,7,21725794,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,8,21725793,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,9,21725791,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,10,5370162,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,11,5370168,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,12,5370179,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,13,21725760,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,14,13000755,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,15,13000989,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,16,13000995,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,17,13000993,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,18,13000996,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,19,21725753,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,20,21725752,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,21,21725751,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,22,21725750,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,23,21725749,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,24,21725748,published_papers,400,"invalid_request,担当区分(published_paper_owner_roles),無効な値が指定されました。"
1,/rm_published_papers.csv,25,18561682,published_papers,404,"not_found,,指定されたリソースが見つかりませんでした[18561682]。"
1,/rm_published_papers.csv,26,18561685,published_papers,404,"not_found,,指定されたリソースが見つかりませんでした[18561685]。"
1,/rm_published_papers.csv,27,18561687,published_papers,404,"not_found,,指定されたリソースが見つかりませんでした[18561687]。"
