misc
アクション名,アクションタイプ,類似業績マージ優先度,ID,タイトル(日本語),タイトル(英語),著者(日本語),著者(英語),担当区分,概要(日本語),概要(英語),出版者・発行元(日本語),出版者・発行元(英語),出版年月,誌名(日本語),誌名(英語),巻,号,開始ページ,終了ページ,記述言語,査読の有無,招待の有無,掲載種別,国際・国内誌,国際共著,DOI,ISSN,eISSN,URL,URL2,主要な業績かどうか,公開の有無
insert,merge,,,透明感操作のためのcGANsによる集光模様の実時間生成,,"岡本拓朗, 浦西友樹, 間下以大, Photchara Ratsamee, 竹村治雄",,null,,,,,2018-10,日本バーチャルリアリティ学会 複合現実感研究会,,,,,,jpn,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
insert,merge,,,構造色パターンから光源方向を推定可能なARマーカ,,"伊藤澄美, 浦西友樹, Photchara Ratsamee, 間下以大, 竹村治雄",,null,,,,,2018-10,日本バーチャルリアリティ学会 複合現実感研究会,,,,,,jpn,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
insert,merge,,,気流の可視化に伴い変化する温度感の評価,,"金山哲也, 間下以大, 浦西友樹, Photchara Ratsamee, 竹村治雄",,null,,,,,2018-09,第23回日本バーチャルリアリティ学会大会論文集,,,,,,jpn,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
insert,merge,,,映像監視空間の構築を支援するHMDを用いた3Dユーザインタフェース,,"駒走友哉, 小池正英, Photchara Ratsamee, 間下以大, 浦西友樹, 竹村治雄",,null,,,,,2018-09,第23回日本バーチャルリアリティ学会大会論文集,,,,,,jpn,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
insert,merge,,,Mouse vs Gesture: Interface Perceptions in Japan,Mouse vs Gesture: Interface Perceptions in Japan,"ソアレス メデイロス アンナ カロリナ, ラサミー ポチャラ, 浦西友樹, 間下以大, 竹村治雄",,null,,,,,2017-10,日本バーチャルリアリティ学会 複合現実感研究会,,,,,,eng,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
insert,merge,,,湿度制御による蒸し暑さディスプレイ,,"鋒山健太, 黒田嘉宏, 清川清, 浦西友樹, 竹村治雄",,null,,,,,2017-09,第22回日本バーチャルリアリティ学会大会論文集,,,,,,jpn,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
insert,merge,,,An Interactive 4D Visualization of Dynamic 3D Information,An Interactive 4D Visualization of Dynamic 3D Information,,"Tao Tao, Photchara Ratsamee, Yuki Uranishi, Kiyoshi Kiyokawa, Tomohiro Mashita, Haruo Takemura",null,,,,,2017-09,第22回日本バーチャルリアリティ学会大会論文集,,,,,,eng,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
insert,merge,,,Segmentation of Reflection and Iris Pattern in Human Corneal Images,Segmentation of Reflection and Iris Pattern in Human Corneal Images,,"Anshi Liu, Photchara Ratsamee, Tomohiro Mashita, Kiyoshi Kiyokawa, Yuki Uranishi, Haruo Takemura",null,,,,,2017-09,第22回日本バーチャルリアリティ学会大会論文集,,,,,,eng,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
insert,merge,,,狭帯域多波長画像ピラミッドを用いた生体マッチング方法の検討,,"田村祐樹, 間下以大, 黒田嘉宏, 浦西友樹, 清川清, 竹村治雄",,null,,,,,2017-01,電子情報通信学会技術研究報告,,116,412,207,212,jpn,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
insert,merge,,,投影型拡張現実によるパッキング支援システム,,"テチャサラトーン ナタオン, ラサミー ポチャラ, 間下以大, 浦西友樹, 清川清, 竹村治雄",,null,,,,,2016-10,日本バーチャルリアリティ学会 複合現実感研究会,,,,,,jpn,null,null,summary_national_conference,null,null,,,,,,FALSE,disclosed
