published_papers
アクション名,アクションタイプ,類似業績マージ優先度,ID,タイトル(日本語),タイトル(英語),著者(日本語),著者(英語),担当区分,概要(日本語),概要(英語),出版者・発行元(日本語),出版者・発行元(英語),出版年月,誌名(日本語),誌名(英語),巻,号,開始ページ,終了ページ,記述言語,査読の有無,招待の有無,掲載種別,国際・国内誌,国際共著,DOI,ISSN,eISSN,URL,URL2,主要な業績かどうか,公開の有無
update,doc,,52773381,,CaliView: Continuous Viewpoint Calibration Using Dynamic Rotation Gain Control,,"Donghae Lim, Shizuka Shirai, Masato Kobayashi, Yuki Uranishi, Haruo Takemura",null,,,,,2025-12,,IEEE Transactions on Visualization and Computer Graphics,31,12,10942,10951,eng,null,null,scientific_journal,null,null,10.1109/TVCG.2025.3620419,,,,,FALSE,disclosed
update,doc,,52505337,,MRNaB: Mixed Reality-based Robot Navigation Interface using Optical-see-through MR-beacons,,"Eduardo Iglesius, Masato Kobayashi, Yuki Uranishi, Haruo Takemura",null,,,,,2025-06,,Advanced Robotics,39,11,663,677,eng,null,null,scientific_journal,null,null,10.1080/01691864.2025.2508779,,,,,FALSE,disclosed
update,doc,,47226653,,A Non-contact Translational and Rotational Force Feedback Device using Rotational Jet Propellers,,"Nishimura Ryo, Photchara Ratsamee, Yuki Uranishi, Haruo Takemura",null,,,,,2024-03,,2024 SICE International Symposium on Control Systems (SICE ISCS),,,,,eng,null,null,international_conference_proceedings,null,null,10.23919/siceiscs60954.2024.10505747,,,,,FALSE,disclosed
update,doc,,45620567,,Generation of Inverted Locomotion Gait for Multi-Legged Robots Using a Spherical Magnet Joint and Adjustable Sleeve,,"Harn Sison, Photchara Ratsamee, Manabu Higashida, Yuki Uranishi, Haruo Takemura",null,,,,,2023-10,,Journal of Robotics and Mechatronics,35,5,1227,1242,eng,null,null,scientific_journal,null,null,10.20965/jrm.2023.p1227,,,,,FALSE,disclosed
update,doc,,43468934,,SmartVP: Viewpoint Optimization Based on Individual Preference for Watching 3D Boxing Punch Videos,,"Tao Tao, Photchara Ratsamee, Chang Liu, Yuki Uranishi, Haruo Takemura",null,,,,,2023-03,,"Proceedings of the 2023 5th International Conference on Image, Video and Signal Processing",,,,,eng,null,null,international_conference_proceedings,null,null,10.1145/3591156.3591171,,,,,FALSE,disclosed
update,doc,,43352268,,Panoptic-aware Image-to-Image Translation,,"Liyun Zhang, Photchara Ratsamee, Bowen Wang, Zhaojie Luo, Yuki Uranishi, Manabu Higashida, Haruo Takemura",null,,,,,2023-01,,IEEE/CVF Winter Conference on Applications of Computer Vision (WACV),,,,,eng,null,null,international_conference_proceedings,null,null,10.1109/wacv56688.2023.00034,,,,,FALSE,disclosed
update,doc,,43468937,,Exploring Three-Dimensional Locomotion Techniques in Virtual Reality,,"Donghae Lim, Shizuka Shirai, Jason Orlosky, Photchara Ratsamee, Yuki Uranishi, Haruo Takemura",null,,,,,2022-10,,2022 IEEE International Symposium on Mixed and Augmented Reality Adjunct (ISMAR-Adjunct),,,,,eng,null,null,international_conference_proceedings,null,null,10.1109/ismar-adjunct57072.2022.00105,,,,,FALSE,disclosed
update,doc,,47090286,,FrictionHaptics : Encountered-type haptic device fortangential friction emulation,,"Ryo Meguro, Photchara Ratsamee, Tomohiro Mashita, Yuki Uranishi, Haruo Takemura",null,,,,,2019-10,,"Adjunct Proceedings of the 2019 IEEE International Symposium on Mixed and Augmented Reality, ISMAR-Adjunct 2019",,,382,383,eng,null,null,international_conference_proceedings,null,null,10.1109/ismar-adjunct.2019.000-6,,,,,FALSE,disclosed
update,doc,,21725796,,An Interactive 4D Vision Augmentation of Rapid Motion,,"Tao Tao, Photchara Ratsamee, Yuki Uranishi, Kiyoshi Kiyokawa, Tomohiro Mashita, Haruo Takemura",null,,,,,2018-02,,Proceedings of Augmented Human 2018 (AH2018),,,,,eng,null,null,international_conference_proceedings,null,null,,,,,,FALSE,disclosed
update,doc,,21725794,,A Mutual Motion Capture System for Face-to-face Collaboration,,"Atsuyuki Nakamura, Kiyoshi Kiyokawa, Photchara Ratsamee, Tomohiro Mashita, Yuki Uranishi, Haruo Takemura",null,,,,,2017-11,,Proceedings of the International Conference on Artificial Reality and Telexistence and Eurographics Symposium on Virtual Environments (ICAT-EGVE2017),,,009,016,eng,null,null,international_conference_proceedings,null,null,,,,,,FALSE,disclosed
update,doc,,21725793,,Exploring Proxemics for Human-Drone Interaction,,"Alexander Yeh, Photchara Ratsamee, Kiyoshi Kiyokawa, Yuki Uranishi, Tomohiro Mashita, Haruo Takemura, Morten Fjeld, Mohammad Obaid",null,,,,,2017-10,,Proceedings of the 5th International Conference on Human Agent Interaction (HAI),,,,,eng,null,null,international_conference_proceedings,null,null,,,,,,FALSE,disclosed
update,doc,,21725791,,Realtime Generation of Caustic Images Using a Deep Neural Network,,"Takurou Okamoto, Yuki Uranishi, Tomohiro Mashita, Photchara Ratsamee, Kiyoshi Kiyokawa, Haruo Takemura",null,,,,,2017-10,,Proceedings of the 16th IEEE International Symposium on Mixed and Augmented Reality (ISMAR2017),,,,,eng,null,null,international_conference_proceedings,null,null,,,,,,FALSE,disclosed
update,doc,,5370162,Oil Bubble Display: 油を投影面とした変形・結合・分裂が可能なディスプレイ,,"井手口裕太, 川口純輝, 浦西友樹, 吉元俊輔, 黒田嘉宏, 井村誠孝, 大城理",,null,,,,,2017-09,芸術科学会論文誌,,16,3,15,28,jpn,null,null,scientific_journal,null,null,10.3756/artsci.16.15,,,,,FALSE,disclosed
update,doc,,5370168,,Reconstruction of Smoke based on Light Field Consistency,,"Yuta Ideguchi, Yuki Uranishi, Shunsuke Yoshimoto, Yoshihiro Kuroda, Masataka Imura, Osamu Oshiro",null,,,,,2016-12,,IEEJ Transactions on Sensors and Micromachines,136,12,522,531,eng,null,null,scientific_journal,null,null,10.1541/ieejsmas.136.522,,,,,FALSE,disclosed
update,doc,,5370179,ライトフィールドからの煙の空間濃度分布推定,,"井手口裕太, 浦西友樹, 吉元俊輔, 黒田嘉宏, 井村誠孝, 大城理",,null,,,,,2016-07,映像情報メディア学会誌,,70,7,J146,J157,jpn,null,null,scientific_journal,null,null,10.3169/itej.70.J146,,,,,FALSE,disclosed
insert,merge,,,,Estimation of the Degree of Endolymphatic Hydrops Using Optical Coherence Tomography,,"Tuukka Karvonen, Yuki Uranishi, Tatsunori Sakamoto, Yosuke Tona, Kazuya Okamoto, Hiroshi Tamura, Tomohiro Kuroda",null,,,,,2016-03,,,5,,19,25,eng,null,null,scientific_journal,null,null,10.14326/abe.5.19,,,,,FALSE,disclosed
update,doc,,29657893,,Support system for clothes selection based on color information for visually impaired persons,,"Masao Miyake, Yoshitsugu Manabe, Yuki Uranishi, Shunsuke Yoshimoto, Masataka Imura, Yoshihiro Kuroda, Osamu Oshiro",null,,,,,2016-02,,Transactions of Japanese Society for Medical and Biological Engineering,53,5,255,263,eng,null,null,scientific_journal,null,null,10.11239/jsmbe.53.255,,,,,FALSE,disclosed
insert,merge,,,視覚障がい者のための色にもとづく服飾選択支援システム,,"三宅正夫, 眞鍋佳嗣, 浦西友樹, 井村誠孝, 黒田嘉宏, 大城理",,null,,,,,2015-10,生体医工学,,53,5,255,263,jpn,null,null,scientific_journal,null,null,10.11239/jsmbe53.255,,,,,FALSE,disclosed
insert,merge,,,視覚障がい者のための誘導音を用いた線図形トレーシングシステム,,"浦西友樹, 瀧澤洸, 吉元俊輔, 井村誠孝, 大城理",,null,,,,,2015-05,システム制御情報学会論文誌,,28,5,205,212,jpn,null,null,scientific_journal,null,null,10.5687/iscie.28.205,,,,,FALSE,disclosed
update,doc,,13000989,食道の蠕動運動による食塊の輸送シミュレーション,,"井村誠孝, 豆野裕信, 浦西友樹, 黒田嘉宏, 大城理",,null,,,,,2014-11,VR医学,,12,1,9,14,jpn,null,null,scientific_journal,null,null,10.7876/jmvr.12.9,,,,,FALSE,disclosed
update,doc,,21725757,,Pitching Simulation with Musculoskeletal Model of Hand,,"Ryosuke Yokohata, Masataka Imura, Yuki Uranishi, Shunsuke Yoshimoto, Yoshihiro Kuroda, Osamu Oshiro",null,,,,,2014-05,,Proceedins of Digital Human Modeling Symposium,,,13,,eng,null,null,international_conference_proceedings,null,null,,,,,,FALSE,disclosed
insert,merge,,,手の筋骨格モデルを導入した投球シミュレーション,,"横畑亮輔, 井村誠孝, 黒田嘉宏, 浦西友樹, 大城理",,null,,,,,2014-02,生体医工学,,52,1,1,10,jpn,null,null,scientific_journal,null,null,10.11239/jsmbe.52.1,,,,,FALSE,disclosed
insert,merge,,,スマートフォン利用による視覚障がい者のための衣類の色および模様認識システム,,"三宅正夫, 眞鍋佳嗣, 浦西友樹, 井村誠孝, 黒田嘉宏, 大城理",,null,,,,,2013-12,生体医工学,,51,6,342,349,jpn,null,null,scientific_journal,null,null,10.11239/jsmbe.51.342,,,,,FALSE,disclosed
update,doc,,13000995,力覚提示指向の大変形有限要素法シミュレーション,,"黒田嘉宏, 浦西友樹, 井村誠孝, 大城理",,null,,,,,2013-12,日本バーチャルリアリティ学会論文誌,,18,4,497,506,jpn,null,null,scientific_journal,null,null,10.18974/tvrsj.18.4_497,,,,,FALSE,disclosed
update,doc,,13000996,,Pedestrian-traffic Logging Unit with Tailgating Detection Using Range Image Sensor,,"Yuki Uranishi, Yasufumi Moriie, Yoshitsugu Manabe, Osamu Oshiro, Kunihiro Chihara",null,,,,,2013-10,,ACEEE International Journal on Information Technology,3,3,14,21,eng,null,null,scientific_journal,null,null,,,,,,FALSE,disclosed
